goal	rule	score
parent(X, _EX5)	parent(alerie_hightower, margaery_tyrell)	1
parent(_EX0, X)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(mace_tyrell, X)	parent(mace_tyrell, loras_tyrell)	1
parent(_EX4, Z)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(catelyn_stark, _EX0)	parent(catelyn_stark, robb_stark)	1
parent(_EX0, _EX1)	parent(eddard_stark, bran_stark)	1
father(rhaegar_targaryen, _EX2)	father(X, Y) :- male(X), parent(X, Y)	1
parent(X, _EX3)	parent(cassana_estermont, robert_baratheon)	1
parent(_EX6, X)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(rhaella_targaryen, Y)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(_EX4, _EX0)	parent(kevan_lannister, martyn_lannister)	1
parent(X, _EX1)	parent(eddard_stark, sansa_stark)	1
female(_EX3)	female(arya_stark)	1
parent(_EX4, Z)	parent(alannys_harlaw, maron_greyjoy)	1
parent(X, _EX0)	parent(steffon_baratheon, robert_baratheon)	1
parent(X, _EX1)	parent(rickard_stark, brandon_stark)	1
parent(_EX3, brandon_stark)	parent(rickard_stark, brandon_stark)	1
parent(eddard_stark, _EX0)	parent(eddard_stark, rickon_stark)	1
male(_EX2)	male(mace_tyrell)	1
parent(_EX6, _EX5)	parent(joanna_lannister, jaime_lannister)	1
ancestor(X, obara_sand)	ancestor(X, Y) :- parent(X, Y)	1
parent(Y, _EX3)	parent(unknown_mother_stark, lyanna_stark)	1
ancestor(balon_greyjoy, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX4)	parent(unknown_mother_martell, oberyn_martell)	1
ancestor(balon_greyjoy, maron_greyjoy)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX1, _EX5)	parent(alannys_harlaw, rodrick_greyjoy)	1
parent(X, Y)	parent(unknown_mother_martell, ella_martell)	1
status(Y, X)	status(rickard_stark, dead)	1
father(_EX3, Z)	father(X, Y) :- male(X), parent(X, Y)	1
parent(Y, martyn_lannister)	parent(kevan_lannister, martyn_lannister)	1
parent(_EX6, _EX2)	parent(balon_greyjoy, theon_greyjoy)	1
parent(X, _EX3)	parent(unknown_mother_sand_2, nymeria_sand)	1
parent(Y, _EX3)	parent(ellaria_sand, tyene_sand)	1
parent(aerys_targaryen, _EX4)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(X, _EX5)	parent(aegon_v_targaryen, aerys_targaryen)	1
ancestor(_EX3, Z)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX6, _EX5)	parent(catelyn_stark, rickon_stark)	1
parent(oberyn_martell, _EX0)	parent(oberyn_martell, sarella_sand)	1
parent(_EX6, _EX2)	parent(unknown_mother_martell, doran_martell)	1
parent(_EX1, tywin_lannister)	parent(tytos_lannister, tywin_lannister)	1
parent(_EX0, _EX1)	parent(alannys_harlaw, yara_greyjoy)	1
parent(_EX0, X)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(X, _EX0)	parent(lewyn_martell, doran_martell)	1
parent(X, _EX5)	parent(cassana_estermont, renly_baratheon)	1
parent(cersei_lannister, Y)	parent(cersei_lannister, myrcella_lannister)	1
parent(_EX3, Z)	parent(steffon_baratheon, stannis_baratheon)	1
parent(X, _EX4)	parent(cassana_estermont, robert_baratheon)	1
parent(_EX1, Z)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(_EX6, _EX5)	parent(jaime_lannister, tommen_lannister)	1
ancestor(X, daeron_targaryen)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX2, mace_tyrell)	parent(luthor_tyrell, mace_tyrell)	1
parent(_EX2, X)	parent(mace_tyrell, margaery_tyrell)	1
parent(_EX1, _EX3)	parent(eddard_stark, sansa_stark)	1
parent(_EX3, X)	parent(tywin_lannister, cersei_lannister)	1
parent(_EX1, _EX5)	parent(ellaria_sand, four_unknown_martells)	1
status(Y, X)	status(daeron_targaryen, dead)	1
parent(jaime_lannister, _EX4)	parent(jaime_lannister, joffery_lannister)	1
parent(_EX1, _EX5)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX2, X)	parent(unknown_father_greyjoy, aeron_greyjoy)	1
parent(_EX6, _EX5)	parent(oberyn_martell, sarella_sand)	1
parent(_EX1, _EX5)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX4, Z)	parent(alannys_harlaw, theon_greyjoy)	1
male(_EX2)	male(aerys_targaryen)	1
parent(X, _EX0)	parent(luthor_tyrell, mace_tyrell)	1
male(_EX2)	male(lewyn_martell)	1
parent(X, Y)	parent(balon_greyjoy, maron_greyjoy)	1
parent(_EX0, X)	parent(jaime_lannister, myrcella_lannister)	1
parent(_EX1, _EX5)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX1, Z)	parent(cersei_lannister, tommen_lannister)	1
parent(_EX3, Z)	parent(cersei_lannister, joffery_lannister)	1
status(X, Y)	status(joffery_lannister, dead)	1
parent(Y, X)	parent(jaime_lannister, tommen_lannister)	1
parent(_EX1, Z)	parent(oberyn_martell, obara_sand)	1
parent(X, _EX3)	parent(selyse_baratheon, shireen_baratheon)	1
parent(_EX4, X)	parent(eddard_stark, robb_stark)	1
parent(_EX1, Z)	parent(tywin_lannister, cersei_lannister)	1
parent(Y, X)	parent(oberyn_martell, sarella_sand)	1
parent(Y, _EX3)	parent(alannys_harlaw, rodrick_greyjoy)	1
status(X, Y)	status(euron_geofrey, dead)	1
female(_EX3)	female(selyse_baratheon)	1
parent(_EX4, _EX0)	parent(rickard_stark, lyanna_stark)	1
status(X, Y)	status(rorge, dead)	1
parent(_EX0, _EX1)	parent(balon_greyjoy, theon_greyjoy)	1
parent(_EX4, _EX1)	parent(kevan_lannister, willem_lannister)	1
parent(_EX2, arya_stark)	parent(catelyn_stark, arya_stark)	1
parent(X, _EX3)	parent(mace_tyrell, loras_tyrell)	1
parent(_EX4, _EX0)	parent(doran_martell, trystane_martell)	1
parent(_EX4, _EX1)	parent(alerie_hightower, margaery_tyrell)	1
parent(X, Z)	parent(steffon_baratheon, stannis_baratheon)	1
parent(_EX3, Z)	parent(robert_baratheon, gendry)	1
parent(rickard_stark, X)	parent(rickard_stark, benjen_stark)	1
status(X, Z)	status(the_hound, alive)	1
status(X, Y)	status(eddard_stark, dead)	1
parent(_EX1, cersei_lannister)	parent(tywin_lannister, cersei_lannister)	1
female(X)	female(joanna_lannister)	1
ancestor(rhaegar_targaryen, Y)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, Y)	parent(lewyn_martell, ella_martell)	1
parent(X, oberyn_martell)	parent(unknown_mother_martell, oberyn_martell)	1
parent(_EX2, X)	parent(elia_martell, rhaenys_targaryen)	1
ancestor(jaime_lannister, _EX1)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, mace_tyrell)	parent(olenna_tyrell, mace_tyrell)	1
parent(_EX3, Z)	parent(unknown_mother_sand_3, sarella_sand)	1
parent(_EX0, X)	parent(rickard_stark, eddard_stark)	1
